Title.E text="BaseBuilding"
Resume.E text="Build your base and eliminate your foe!"

#Include file="%cat%/level_common.txt"
Level type=CODE_BATTLE magnifyDamage=10

BeginObject

// Team "Blue" (1)
CreateObject pos= 5;-35 dir=1.5 type=WheeledGrabber team=1
CreateObject pos=0;-35 type=Titanium
CreateObject pos=-5;-35 dir=1.5 type=WheeledBuilder team=1 select=true
CreateObject pos=0;-58 dir=1.5 type=Derrick magnifyDamage=0 selectable=false

// Team "Red" (2)
CreateObject pos=-5;35 dir=0.5 type=WheeledGrabber team=2
CreateObject pos=0;35 type=Titanium
CreateObject pos=5;35 dir=0.5 type=WheeledBuilder  team=2
CreateObject pos=0;58 dir=0.5 type=Derrick magnifyDamage=0 selectable=false

EndMissionTake pos=0;0 dist=10000 type=Any team=-1 min=0 max=0 winTeam=1
EndMissionTake pos=0;0 dist=10000 type=Any team=-2 min=0 max=0 winTeam=2
