Title.E text="Equipment"
Resume.E text="Prepare yourself to embark on mankind's most thrilling adventure yet."
Instructions name="%lvl%/help/help.%lng%.txt"
SoluceFile name="%lvl%/help/soluce.%lng%.txt"
HelpFile name="cbot.txt"
EndingFile win="other/win101.txt" lost="other/lost000.txt"
MessageDelay factor=5

Audio filename="music002.ogg"

#Include file="%chap%/planet.txt"
TerrainRelief image="relief11.png" factor=1.0
TerrainResource image="res00.png"
#Include file="%chap%/terrain.txt"
TerrainCreate

GroundSpot pos= 0; 0 radius=40 color=0.863;0.667;0.627 // vaisseau
GroundSpot pos= -25; -8 radius=50 color=0.745;0.902;0.863 // construction
GroundSpot pos=-125;100 radius=40 color=0.745;0.863;0.627
GroundSpot pos=-107; 58 radius=20 color=0.745;0.863;0.627
GroundSpot pos= -20; 30 radius=40 color=0.745;0.863;0.627
GroundSpot pos= -48; 32 radius=20 color=0.745;0.863;0.627
GroundSpot pos= -44;-20 radius=20 color=0.745;0.863;0.627
GroundSpot pos= 10;-60 radius=40 color=0.745;0.863;0.627
GroundSpot pos= -99;-45 radius=40 color=0.745;0.863;0.627 // bbox
GroundSpot pos= -99;-22 radius=50 color=0.902;0.824;0.745

BeginObject
CreateObject pos=-115.0;115.0 dir=0.3 type=Me option=2
CreateObject pos=-108.0;114.0 dir=1.0 type=BotFactory selectable=0
CreateObject pos=-111.0;114.0 dir=1.0 type=PracticeBot selectable=0
CreateObject pos=-130.0;105.0 dir=1.0 type=RadarStation selectable=0
CreateObject pos= -29.0; 20.0 dir=0.5 type=WheeledGrabber selectable=0
CreateObject pos= 0.0; 0.0 dir=0.0 type=StartArea
CreateObject pos= -26.0;-14.0 dir=1.0 type=Titanium
CreateObject pos= -26.0; 5.0 dir=1.0 type=Titanium
CreateObject pos= -28.0; -6.0 dir=0.0 type=PowerCell
CreateObject pos= -26.0; -6.0 dir=0.0 type=PowerCell
CreateObject pos= -28.0; -4.0 dir=0.0 type=PowerCell
CreateObject pos= -26.0; -4.0 dir=0.0 type=PowerCell
CreateObject pos= -18.0;-30.0 dir=0.0 type=RadarStation
CreateObject pos= -52.8; 38.0 dir=0.1 type=Bag proxyActivate=1 proxyDistance=5
CreateObject pos= -47.0; 20.0 dir=0.0 type=Houston

CreateObject pos= 37; 47 cmdline=3;-37;47;-37;-47;37;-47 dir=1.0 type=PracticeBot trainer=1 script1="strain1.txt" run=1 power=100 selectable=0
CreateObject pos= 37;-47 cmdline=3;37;47;-37;47;-37;-47 dir=1.5 type=WheeledSniffer trainer=1 script1="strain1.txt" run=1 power=100 selectable=0
CreateObject pos=-110; 43 cmdline=3;-43;43;-43;47;-110;47 dir=0.0 type=WheeledShooter trainer=1 script1="strain1.txt" run=1 power=100 selectable=0
CreateObject pos= 5; 5 cmdline=3;5;-5;-5;-5;-5;5 dir=0.5 type=TrackedSniffer script1="strain2.txt" run=1 power=100 selectable=0

CreateObject pos=-45;31 dir=1.5 type=Tech option=2 selectable=0 clip=0
CreateObject pos=-47;24 dir=1.2 type=Tech option=2 selectable=0 clip=0 script1="human02.txt" run=1
CreateObject pos=-43;28 dir=0.0 type=Tech option=2 selectable=0 clip=0 script1="human01.txt" run=1
CreateObject pos=-46;14 dir=1.0 type=Tech option=2 selectable=0 clip=0 script1="human03.txt" run=1
CreateObject pos=-44; 9 dir=1.2 type=Tech option=2 selectable=0 clip=0
CreateObject pos=-45;10 dir=0.1 type=Tech option=2 selectable=0 clip=0

//CreateObject pos=-100.0;-45.0 dir=0.0 type=GoalArea
CreateObject pos=-109.0;-42.4 dir=0.5 type=Barrier1
CreateObject pos=-109.0;-47.6 dir=0.5 type=Barrier1

CreateObject pos=48.0;-42.4 dir=0.5 type=Barrier1
CreateObject pos=48.0;-47.6 dir=0.5 type=Barrier1

CreateObject pos=-32.4;-58.0 dir=0.0 type=Barrier1
CreateObject pos=-37.6;-58.0 dir=0.0 type=Barrier1

CreateObject pos= -27.8; -37.3 dir=0.0 type=Tree0
CreateObject pos= -44.0; -51.3 dir=0.2 type=Tree1
CreateObject pos= -41.5; -26.7 dir=1.7 type=Tree2
CreateObject pos= -47.5; -7.4 dir=0.5 type=Tree3
CreateObject pos= -44.7; -3.5 dir=0.5 type=Tree1
CreateObject pos= 9.6; -36.2 dir=1.1 type=Tree2
CreateObject pos= 28.7; -12.5 dir=0.0 type=Tree3
CreateObject pos= 28.3; -7.0 dir=1.4 type=Tree1
CreateObject pos= 41.6; 12.1 dir=1.5 type=Tree0
CreateObject pos= 46.9; 56.8 dir=1.1 type=Tree1
CreateObject pos=-113.5; -42.7 dir=0.3 type=Tree2
CreateObject pos= -16.3; -77.7 dir=1.1 type=Tree3
CreateObject pos= -41.9;-109.4 dir=0.0 type=Tree0
CreateObject pos= -56.0; 38.3 dir=0.6 type=Tree1
CreateObject pos= -89.8; 52.3 dir=0.0 type=Tree2
CreateObject pos=-135.6; 39.6 dir=0.4 type=Tree0

CreateObject pos= -47.0;-21.2 dir=0.3 type=Greenery0
CreateObject pos= -47.6;-17.6 dir=1.9 type=Greenery1
CreateObject pos= -40.9;-22.3 dir=0.7 type=Greenery4
CreateObject pos= -16.9;-19.6 dir=0.5 type=Greenery2
CreateObject pos= -24.5; 0.5 dir=0.1 type=Greenery3
CreateObject pos= -24.0; 37.2 dir=0.8 type=Greenery2
CreateObject pos= -18.4; 38.2 dir=1.2 type=Greenery1
CreateObject pos= 42.7;-35.2 dir=0.2 type=Greenery2
CreateObject pos= 8.5;-57.7 dir=1.6 type=Greenery4
CreateObject pos= -47.4;-70.5 dir=0.1 type=Greenery3
CreateObject pos= -87.1;-39.0 dir=0.5 type=Greenery0
CreateObject pos= -97.7;-50.2 dir=0.0 type=Greenery1
CreateObject pos=-104.3;-39.2 dir=1.4 type=Greenery3
CreateObject pos= -21.3; 22.3 dir=0.3 type=Greenery2
CreateObject pos= -58.9; 39.9 dir=0.9 type=Greenery0
CreateObject pos= -60.0; 34.2 dir=0.4 type=Greenery2
CreateObject pos=-129.4;111.6 dir=0.7 type=Greenery1
CreateObject pos=-109.0;107.4 dir=0.8 type=Greenery3
CreateObject pos=-121.6;107.4 dir=0.1 type=Greenery2
CreateObject pos=-124.6; 97.8 dir=1.2 type=Greenery2
CreateObject pos=-120.7; 95.4 dir=0.5 type=Greenery3
CreateObject pos=-109.3; 87.0 dir=0.3 type=Greenery4
CreateObject pos=-108.1; 55.6 dir=0.6 type=Greenery1
CreateObject pos= -77.1; 53.1 dir=0.9 type=Greenery0

CreateObject pos=-112.4; 40.3 dir=0.0 type=Barrier1
CreateObject pos=-117.6; 40.3 dir=0.0 type=Barrier1
CreateObject pos=-112.4;139.7 dir=0.0 type=Barrier1
CreateObject pos=-117.6;139.7 dir=0.0 type=Barrier1

CreateObject pos=-149.0; 42.4 dir=0.5 type=Barrier1
CreateObject pos=-149.0; 47.6 dir=0.5 type=Barrier1

CreateObject pos= 60.0; 42.4 dir=0.5 type=Barrier1
CreateObject pos= 60.0; 47.6 dir=0.5 type=Barrier1

CreateObject pos= -32.4; 97.0 dir=0.0 type=Barrier1
CreateObject pos= -37.6; 97.0 dir=0.0 type=Barrier1

CreateFog pos= -92; 113 height=7.0 dim=50 delay=4.0 type=6
CreateFog pos= -92; 113 height=8.0 dim=50 delay=5.0 type=7
CreateFog pos= -74; 72 height=5.0 dim=50 delay=4.0 type=6
CreateFog pos= -74; 72 height=6.0 dim=50 delay=5.0 type=7
CreateFog pos=-120; 121 height=1.0 dim=20 delay=4.0 type=6
CreateFog pos=-120; 121 height=2.0 dim=20 delay=5.0 type=7
CreateFog pos=-110; 100 height=1.0 dim=20 delay=4.0 type=6
CreateFog pos=-110; 100 height=2.0 dim=20 delay=5.0 type=7
